user_id,catb_recommender
1,"[1082185, 6534178, 995242, 979707, 962568, 856942, 961554, 5577022, 1115576, 1029743, 12263788, 5582712, 1135834, 965766, 840361, 1061203, 885290, 9655212, 1077430, 1056746, 7025114, 5568729, 878996, 1004906, 991024, 995785, 940947, 1082269, 15926844, 834484, 924423, 1005274, 900586, 1102067, 931136, 901062, 1124029, 1053282, 1135552, 1132968, 1081177, 896085, 1025641, 911409, 1082212, 1052912, 8293343, 1051211, 844179, 859075, 938700, 5978648, 5978656, 849843, 1131115, 883404, 1020682, 860776, 1055646, 1046816, 10149640, 1098066, 826249, 12810393, 916122, 990656, 866211, 826695, 865501, 1132911, 1075074, 871570, 908531, 1056509, 862349, 977545, 958046, 944534, 866227, 847982, 994928, 854496, 7441419, 872137, 1027569, 981760, 6034857, 1055201, 1005186, 1104604, 1043301, 883616, 851515, 1105433, 1033142, 951954, 845078, 1135096, 819518, 1014948, 928342, 10285144, 833025, 903325, 1022254, 990797, 1138467, 899624, 12385916, 923746, 10455984, 12385374, 1070820, 897125, 15926927, 1077555, 1041796, 9445671, 835618, 1092303, 913785, 830156, 1058997, 844165, 1096036, 986912, 865456, 1024306, 914190, 1011736, 1089023, 1132771, 844818, 867188, 829323, 1092026, 912676, 878285, 5569471, 5568378, 10355978, 857006, 892264, 1053690, 904360, 1062002, 913210, 1035805, 1064441, 1006184, 1044078, 5569230, 1103741, 933835, 854852, 951590, 1126899, 983584, 1022053, 1038217, 890610, 9527290, 962229, 1065593, 5592931, 1133018, 910032, 845208, 1068719, 1085604, 1105488, 1098248, 1023720, 1106523, 1127831]"
2,"[1133018, 1082185, 1106523, 6534178, 979707, 8090537, 951590, 1004906, 981760, 5569230, 1053690, 995242, 1101010, 866211, 916122, 1035843, 899624, 995785, 880150, 8090521, 834484, 898847, 1021324, 5568378, 907099, 908531, 9803601, 844179, 12263788, 840361, 883404, 5568489, 887102, 1028816, 1048383, 845208, 961554, 1069621, 938700, 909396, 5569845, 849843, 923746, 869728, 1014458, 900370, 15926844, 7410019, 965982, 962568, 7025106, 854852, 821083, 848071, 1055646, 860776, 990797, 1110244, 1029743, 834826, 1037863, 1081177, 1090931, 844165, 9677366, 986912, 1101173, 9296804, 945652, 5978648, 5978656, 994928, 1139142, 961756, 965766, 859075, 12301100, 1026118, 939900, 828106, 1108168, 901062, 1038217, 826784, 980666, 866227, 1110572, 893867, 903325, 865511, 925437, 826249, 1098066, 1043301, 827656, 1065593, 1080155, 930838, 958137, 1132771, 9419444, 6633224, 1111116, 878996, 6602440, 825343, 12810393, 839656, 1119405, 1108094, 1005186, 1068719, 1134678, 901205, 858373, 10344586, 930603, 1033142, 13189726, 933835, 6034857, 1123146, 1092026, 934697, 1060529, 6979427, 1051516, 1013407, 946681, 1071939, 987562, 909714, 1077555, 1010582, 1137688, 1096036, 1096261, 1084331, 1075368, 961791, 846417, 833025, 910777, 881047, 1053924, 834117, 983584, 9526412, 1138443, 1044078, 947798, 914190, 962229, 7442008, 913210, 1011457, 1128698, 1043751, 1058997, 853210, 879755, 1085604, 1068343, 885023, 893018, 5592931, 1021152, 868147, 5569471, 910032, 1024306, 6978886, 9653714, 10149597, 883003, 913785, 1030981, 847982, 1022254, 957013, 890610, 1070820, 897295, 904360, 1126899, 862349, 1044895, 933637, 1023720, 1007195, 930118, 965267, 1127831]"
3,"[1106523, 1133018, 951590, 1082185, 1053690, 8090537, 5568378, 5569230, 8090521, 1101010, 13841744, 5569327, 13842214, 995242, 6534178, 1038217, 1092026, 885697, 1134810, 1110244, 883932, 1110572, 1029743, 844165, 1076875, 1092937, 981760, 1065593, 916381, 844179, 883404, 859075, 830887, 907631, 1096036, 870547, 869577, 1101173, 882830, 13416351, 908531, 853522, 904777, 1004906, 893501, 1044078, 962229, 923746, 15741861, 844839, 1096727, 7442008, 843744, 826249, 1098066, 10204488, 897306, 995785, 12577242, 866211, 819255, 840361, 5564526, 1127025, 826784, 986912, 1085604, 913806, 904435, 1081177, 10204487, 15596279, 994928, 9337581, 916122, 860776, 854405, 913210, 838347, 910032, 7025275, 1040807, 898068, 1084331, 1068719, 1085778, 5564906, 854852, 864774, 5978656, 961554, 862349, 9527494, 962568, 878996, 1070820, 839346, 1058997, 903325, 1126899, 904360, 1127831]"
4,"[1082185, 831063, 962229, 1021324, 883932, 995242, 1035676, 1029743, 1038692, 981760, 951590, 1133312, 1106523, 990797, 846417]"
5,"[1082185, 1029743, 1106523, 1053530]"
6,"[1082185, 995242, 6534178, 1029743, 878996, 845208, 840361, 961554, 995785, 903325, 979707, 834484, 981760, 5569230, 5978648, 5978656, 962568, 993638, 1037863, 1004906, 1055646, 860776, 900802, 854852, 1051516, 994928, 1022254, 1055504, 821083, 1005186, 874149, 825541, 1098844, 848071, 1013321, 938700, 1026118, 12731544, 866211, 986912, 883404, 1033142, 849843, 8090440, 866227, 899624, 1081177, 1119051, 922127, 8203834, 909714, 844179, 1098066, 916122, 908531, 826249, 1009449, 1028816, 1040935, 951412, 1137688, 1015296, 1008032, 976199, 1058997, 1024306, 857503, 923746, 862349, 1138854, 970030, 1062782, 1068292, 901062, 1123536, 9524291, 1071939, 850102, 1116821, 5569471, 9911484, 6034857, 9835619, 1067606, 10150194, 863447, 1038217, 921504, 866871, 969866, 10455579, 895268, 5569845, 9803601, 1037337, 10456152, 887325, 883202, 894447, 835236, 1075214, 5568378, 1009046, 1058779, 1070820, 12301109, 1117514, 8090537, 12384953, 5570882, 10341697, 862866, 904360, 10149640, 891141, 914190, 1044078, 897088, 8357613, 1058214, 1011876, 1085031, 1086483, 896369, 1132911, 863699, 831557, 1102949, 870315, 1011572, 878715, 835098, 898869, 1098248, 951590, 9835606, 8290421, 829323, 853522, 8090521, 1121393, 15926712, 909894, 1099058, 1126294, 1096036, 873654, 8203782, 906923, 1126899, 965766, 897165, 847982, 1133018, 946489, 913210, 1007195, 1110572, 1106523, 868319, 987562, 1074362, 1076056, 885307, 6548453, 15926863, 858424, 962229, 995965, 930118, 859075, 869177, 1065593, 833025, 10355978, 983584, 832678, 1068719, 933835, 882830, 1053690, 893018, 879755, 8290587, 1034383, 913785, 1105488, 910032, 1127179, 1087695, 5592931, 844165, 1023720, 12810393, 933637, 965267, 952163, 1085604, 1006184, 1127831, 1092026, 7024990, 1075368, 9527290]"
7,"[1082185, 1106523, 1133018, 6534178, 840361, 1058997, 1003188, 995785, 883404, 834484, 961554, 938700, 5591154, 849843, 866211, 878996, 828867, 1127232, 1055504, 826249, 860776, 1079023, 1126899, 5978648, 5978656, 1098066, 1055646, 842707, 994928, 953180, 821556, 1071939, 983316, 866227, 1040700, 1010424, 5592610, 8119093, 6602729, 981760, 860975, 988208, 909894, 857503, 962568, 845208, 922907, 1011300, 968936, 1005186, 9420337, 1072483, 1033142, 10121610, 1029743, 931757, 1031833, 921744, 923746, 1023196, 1135044, 965766, 979707, 899624, 9913338, 963502, 832001, 1096317, 12384365, 843756, 868423, 916122, 5590695, 909268, 13417846, 7410014, 5568378, 965797, 1043837, 5572738, 1004906, 1096036, 1038217, 9522352, 1038985, 1070214, 1095100, 987724, 908531, 982790, 6034857, 976199, 886965, 825994, 1021715, 993638, 925626, 903325, 833025, 897954, 922307, 844179, 1122358, 1024032, 986912, 1029504, 898342, 879876, 877337, 962229, 5592931, 9832469, 897125, 901062, 1108844, 1104898, 9296919, 1062002, 859075, 856060, 1037863, 1068719, 995242, 861445, 871513, 991223, 945909, 1044078, 6424447, 896369, 1001277, 12731436, 904360, 9836460, 913210, 933835, 1034686, 9837501, 1018769, 1136257, 982283, 1119860, 847982, 847790, 845294, 909714, 1026118, 1065593, 1110572, 843306, 1046262, 983584, 924786, 1081177, 879755, 860167, 893018, 849505, 914190, 912676, 1073224, 1097815, 866871, 844165, 1122085, 951590, 1044895, 1064441, 957013, 1093571, 910032, 5569471, 839346, 5569230, 1022254, 854852, 1092026, 1053690, 1070820, 995965, 987562, 898068, 923528, 1024306, 862349, 1085604, 913785, 1066289, 1007195, 933637, 930118, 1105488, 1057102, 866540, 1127179, 1023720, 1127831, 965267, 7024990]"
8,"[1082185, 1029743, 995242, 6534178, 859075, 981760, 961554, 844179, 5569230, 916122, 5569471, 840361, 979707, 1136257, 987724, 962568, 923746, 899624, 862349, 1070820, 1053690, 914190, 995785, 1004906, 903325, 5569327, 949965, 883404, 925626, 1029624, 849843, 834484, 1070214, 938700, 1013321, 1110142, 1096036, 5568378, 950824, 848319, 1061220, 826249, 1098066, 1044078, 873203, 987562, 1034686, 1021715, 1135258, 952317, 844441, 860776, 856215, 1055646, 908531, 893501, 1095100, 1029504, 870515, 1057260, 12302069, 845208, 1074524, 965766, 837579, 977499, 1058997, 994928, 5577022, 910439, 1105301, 1066069, 822965, 833025, 900418, 924610, 6463874, 1037332, 15926886, 1127624, 7025250, 930917, 8090521, 1039156, 12301109, 847270, 12172240, 1071939, 1085095, 1083721, 9655212, 976199, 1074754, 902172, 823565, 981660, 12301100, 820165, 1109014, 1037863, 827180, 5978648, 5978656, 850562, 1071342, 871756, 845622, 854852, 821976, 866227, 1043301, 999858, 7433888, 8090993, 914318, 1075214, 1005186, 838563, 832678, 1036081, 846830, 951590, 1070782, 1134522, 998373, 15596515, 919534, 1065593, 12810393, 940766, 1033142, 5567502, 837304, 1011572, 1081582, 1038217, 12301073, 1092502, 886481, 1048237, 12301839, 895743, 862070, 861792, 1081177, 6034857, 911502, 1120443, 1135096, 5591083, 1068719, 825343, 892618, 1008787, 1042544, 1101010, 985999, 835098, 1133390, 941741, 916381, 1101956, 1076306, 1077285, 13190294, 837366, 819255, 1051516, 823356, 844165, 872137, 1042438, 869024, 1043590, 878996, 856790, 1026118, 865456, 9365106, 1024306, 901062, 1041796, 1077555, 892048, 841220, 969932, 1092026, 1031833, 15926927, 9445671, 866211, 1103741, 858918, 867648, 909894, 830156, 1126899, 916050, 913425, 1027569, 9337581, 873654, 15926885, 909714, 1056509, 5592931, 12384775, 847982, 913210, 1013389, 1080414, 1115801, 962229, 893018, 1133018, 839243, 866355, 1022254, 8014645, 849018, 986912, 933835, 1110572, 878285, 904360, 1131438, 5566809, 12185599, 868764, 913785, 867188, 879755, 910032, 1022053, 912704, 887618, 9337369, 890610, 1075368, 983584, 995965, 1085604, 1044895, 1106523, 1049788, 821845, 1076056, 1080014, 843656, 905690, 845307, 1046545, 1006184, 1007195, 952163, 9526410, 1127831, 930118, 1023720, 1105488]"
9,"[1029743, 995242, 1082185, 1084968, 6534178, 943233, 883404, 982790, 862799, 947858, 916993, 960984, 856772, 13381584, 826249, 948254, 952317, 899624, 1007642, 981760, 1051323, 1098066, 937292, 1039126, 1038217, 5569471, 929433, 995785, 5568191, 1134522, 5591103, 1040346, 9297474, 950824, 926025, 961554, 10457112, 970119, 10150194, 927400, 857503, 1056005, 840361, 987464, 1078763, 923746, 1027773, 844179, 881708, 874255, 5569230, 896369, 878996, 860776, 962568, 9707240, 883616, 1007911, 862349, 859075, 1004906, 866211, 965292, 962229, 965766, 916122, 990797, 1067606, 1044078, 983584, 1053690, 1058997, 893018, 908531, 1004001, 1022053, 5978656, 1070820, 1081177, 951590, 1106523, 1133018, 1043301, 1068719, 1126899, 854852, 904360, 1127831]"
10,"[1082185, 863762, 1029743, 15596488, 844165]"
