user_id,catb_recommender
1,"[1082185, 940947, 856942, 979707, 995242, 961554, 6534178, 5582712, 883616, 962568, 1115576, 1056746, 1004906, 931136, 1075074, 5577022, 12263788, 958046, 896085, 991024, 944534, 1062002, 1081177, 8293343, 1025641, 883404, 928342, 1046816, 965766, 990797, 10455984, 1061203, 981760, 10149640, 924423, 916122, 1082212, 1005186, 871570, 1005274, 15926927, 1135096, 865501, 1029743, 862349, 1043301, 1011736, 7025114, 908531, 5569471, 885290, 867188, 10285144, 844818, 830156, 1102067, 1096036, 977545, 933835, 1055646, 1077555, 1135834, 1024306, 1052912, 900586, 883932, 1105433, 9655212, 834484, 901062, 893501, 990656, 913210, 1041796, 1132911, 913785, 1035805, 1028473, 1098066, 899624, 1053282, 1135552, 1014948, 826695, 1124029, 962229, 1022053, 878996, 1070820, 1055201, 1033142, 7441419, 872137, 948670, 15926844, 1082269, 1027569, 845078, 1058997, 938700, 903325, 1132771, 6034857, 911409, 986912, 1077430, 5568729, 904360, 5978656, 5978648, 860776, 1132968, 1051211, 1104604, 826249, 1053690, 1022254, 1020682, 847982, 951590, 12385916, 1131115, 844165, 1126899, 844179, 1044078, 854852, 12385374, 13842088, 819518, 995785, 859075, 1038217, 1092303, 849843, 951954, 866211, 12810393, 857006, 914190, 829323, 835618, 840361, 1068719, 1138467, 892264, 994928, 854496, 866227, 9445671, 910032, 878285, 851515, 1098248, 10355978, 897125, 865456, 1064441, 1092026, 5592931, 1089023, 1103741, 912676, 1006184, 833025, 983584, 1065593, 923746, 5568378, 1023720, 845208, 5569230, 9527290, 1105488, 1133018, 1106523, 1085604, 1127831]"
2,"[1106523, 1133018, 1082185, 6534178, 8090521, 5569230, 8090537, 1053690, 1003188, 899624, 1101010, 1028816, 819978, 903325, 979707, 849843, 951590, 866211, 907099, 1132771, 883404, 962568, 898847, 1075368, 7025106, 848071, 5568378, 916122, 12263788, 844179, 909714, 1029743, 1005186, 944836, 947798, 961554, 1035843, 933835, 994928, 1004906, 12810393, 916381, 913210, 981760, 6034857, 908531, 5568489, 878996, 995785, 887102, 844165, 1090931, 5978656, 5978648, 1119405, 1092026, 1108168, 909396, 945652, 879755, 938700, 1021324, 840361, 9803601, 834484, 821083, 1110572, 900370, 860776, 858373, 965766, 965982, 1048383, 827656, 845208, 834826, 9296804, 1051516, 12301100, 1081177, 869728, 1084331, 881047, 1026118, 995242, 866227, 826249, 1065593, 5569845, 930838, 980666, 6979427, 910777, 9677366, 923746, 1038217, 1068719, 986912, 854852, 1123146, 1043751, 1098066, 1108094, 874972, 1043590, 1085604, 6633224, 859075, 7442008, 1077555, 925437, 9419444, 1053924, 961756, 1117514, 1014458, 1137688, 939900, 893867, 1071939, 865511, 946681, 983584, 833025, 5569471, 6602440, 901062, 1044078, 7410019, 5592931, 1111116, 1037863, 1110244, 1096036, 1010582, 1134678, 958137, 862349, 962229, 1080155, 934697, 1128698, 825343, 1058997, 1024306, 828106, 1013407, 832678, 1033142, 839656, 1055646, 990797, 9526412, 930603, 1022254, 914190, 1043301, 6978886, 913785, 13189726, 847982, 910032, 1070820, 826784, 1139142, 1060529, 987562, 10344586, 901205, 868147, 1126899, 880150, 893018, 961791, 1096261, 1011457, 1021152, 10149597, 1068343, 897295, 904360, 885023, 846417, 9653714, 853210, 1046545, 1007195, 1030981, 1044895, 957013, 952163, 1127831, 933637, 930118, 1023720]"
3,"[8090537, 5568378, 1106523, 8090521, 951590, 5569230, 1133018, 5569327, 13842214, 1037840, 1053690, 1082185, 13841744, 907631, 1101010, 870547, 883932, 1110244, 13416351, 1092026, 1076875, 962229, 1029743, 1092937, 1101173, 6534178, 830887, 1134810, 9337581, 7442008, 908531, 869577, 885697, 1085604, 882830, 1096036, 1096727, 916381, 1040807, 883404, 913210, 844165, 897306, 981760, 15596279, 5564526, 819255, 12577242, 1127025, 844839, 843744, 910032, 10204487, 10204488, 1044078, 913806, 1084331, 854405, 893501, 15741861, 844179, 859075, 840361, 994928, 904435, 1038217, 923746, 995242, 986912, 1004906, 916122, 838347, 898068, 904777, 854852, 826249, 1085778, 965766, 1098066, 860776, 995785, 5978656, 5564906, 9527494, 1068719, 866211, 903325, 853522, 1081177, 1058997, 878996, 826784, 962568, 1126899, 864774, 862349, 961554, 7025275, 1070820, 839346, 904360, 1127831]"
4,"[962229, 1082185, 883932, 990797, 831063, 1021324, 1029743, 1035676, 1133312, 1038692, 995242, 951590, 1106523, 981760, 846417]"
5,"[1082185, 1053530, 1029743, 1106523]"
6,"[1082185, 995242, 6534178, 878996, 1029743, 1037863, 1119051, 961554, 845208, 962568, 903325, 849843, 995785, 900802, 994928, 840361, 834484, 860776, 874149, 1137688, 1005186, 1051516, 1055504, 1022254, 1028816, 979707, 1015296, 986912, 866211, 5978656, 5978648, 901062, 883404, 895268, 1026118, 1123536, 938700, 923746, 981760, 825541, 993638, 1004906, 1024306, 821083, 854852, 922127, 1058997, 1013321, 848071, 1040935, 878715, 860975, 9911484, 909714, 999104, 826249, 10341697, 866227, 1098844, 1033142, 1071939, 1098066, 12731544, 1068292, 969866, 9835619, 9803601, 5569230, 1081177, 10150194, 862349, 976199, 921504, 6034857, 835098, 883202, 1117514, 1055646, 10149640, 1009449, 5570882, 951412, 1074524, 8090440, 1085031, 869177, 946489, 894447, 970030, 1138854, 10456152, 12384953, 8203834, 914190, 5569471, 1099058, 1037337, 10455579, 909894, 862866, 5569845, 1068719, 1053690, 831557, 1086483, 15926712, 1075214, 885307, 8290587, 858424, 899624, 916122, 15926863, 9524291, 962229, 9835606, 1070820, 850102, 863699, 1116821, 870315, 8357613, 1067606, 933835, 844179, 891141, 1008032, 1044078, 8090537, 913210, 898869, 835236, 863447, 1038217, 904360, 1110572, 1011876, 1096036, 1058779, 868319, 913785, 951590, 833025, 1011572, 897088, 5568378, 1102949, 8090521, 870515, 6548453, 857503, 847982, 1009046, 1132911, 1058214, 873654, 832678, 995965, 1007195, 12301109, 965766, 8290421, 1126294, 1062782, 908531, 859075, 866871, 896369, 879755, 1065593, 829323, 882830, 1098248, 893018, 952163, 987562, 930118, 887325, 12810393, 1092026, 8203782, 1126899, 910032, 897165, 853522, 1074362, 1075368, 1085604, 1127831, 10355978, 1087695, 5592931, 1133018, 965267, 1006184, 1105488, 983584, 933637, 1121393, 1023720, 1127179, 844165, 1076056, 1034383, 1106523, 7024990, 9527290]"
7,"[1082185, 6534178, 1058997, 1133018, 1126899, 1106523, 1003188, 961554, 1122358, 6602729, 9420337, 5591154, 860776, 1127232, 834484, 840361, 988208, 6034857, 828867, 842707, 983316, 1055504, 953180, 8119093, 963502, 1038985, 10121610, 883404, 866211, 995785, 938700, 849843, 857503, 878996, 5978656, 5978648, 13417846, 994928, 9677236, 1055646, 9913338, 1024032, 10344585, 860975, 1011300, 909894, 962568, 1072483, 5568378, 981760, 1098066, 968936, 1096317, 826249, 1005186, 866227, 1029504, 5592610, 1079023, 1110572, 993638, 1004906, 1018769, 868423, 1096036, 6424447, 923746, 1040700, 844179, 5590613, 965797, 1010424, 986912, 7410014, 921744, 849505, 909268, 871513, 833025, 897954, 904360, 1033142, 9296919, 1037863, 12731436, 897125, 909714, 979707, 893018, 1081177, 5590695, 957013, 5572738, 5591170, 1022254, 1104898, 821556, 860167, 901062, 916122, 903325, 1062002, 1031833, 899624, 1021715, 886965, 9522352, 1043837, 9836460, 922307, 1044078, 962229, 5592931, 982790, 1023196, 854852, 12384365, 1068719, 913210, 847982, 1119860, 9837501, 965766, 859075, 866540, 1053690, 1095100, 908531, 1065593, 1135044, 9832469, 877337, 5569471, 987724, 845208, 1070214, 832001, 1092026, 991223, 1071939, 896369, 987562, 847790, 933835, 995242, 1001277, 1136257, 1066289, 1038217, 862349, 879876, 951590, 1070820, 1024306, 898342, 945909, 1029743, 7024990, 1122085, 983584, 879755, 5569230, 931757, 912676, 844165, 856060, 976199, 1108844, 825994, 982283, 843306, 1097815, 1007195, 839346, 913785, 845294, 866871, 914190, 898068, 1046262, 924786, 1026118, 1073224, 1093571, 923528, 1044895, 1064441, 933637, 1057102, 1085604, 910032, 1102949, 952163, 1127179, 1127831, 965267, 930118, 1023720]"
8,"[1082185, 1029743, 5569230, 7025250, 995242, 1005186, 981760, 861792, 923746, 1004906, 9445671, 1101956, 1071342, 1043301, 862349, 1070820, 5569471, 840361, 969932, 6534178, 901062, 1108168, 849843, 859075, 8090993, 845208, 8090521, 950824, 1061220, 15926886, 1094955, 962568, 916122, 899624, 878996, 909714, 979707, 883404, 1133390, 961554, 1136257, 914190, 844179, 873203, 1034686, 822965, 940766, 5567502, 1053690, 7433888, 1039589, 994928, 6463874, 951590, 826249, 1085604, 892618, 9655212, 1066069, 987724, 1098066, 987562, 823704, 860776, 12810393, 1029504, 834484, 1075214, 965766, 1130858, 833025, 913785, 1056509, 1065593, 5591083, 1037332, 5569327, 6034857, 1109014, 1013321, 935284, 1134522, 995785, 5568378, 12301109, 819255, 1044078, 1057260, 1038217, 825343, 919534, 879755, 847270, 1127624, 835098, 1039156, 893501, 941741, 986912, 976199, 872137, 5978656, 5978648, 839243, 1058997, 925626, 5577022, 998373, 924610, 1055646, 938700, 871756, 1044895, 827180, 981660, 838563, 908531, 952317, 1071939, 862070, 1092502, 856215, 848319, 12301100, 1083721, 962229, 845622, 1048237, 820165, 12172240, 1033142, 1021715, 999858, 8014645, 846830, 1085095, 1133018, 12301073, 867188, 12301839, 916050, 1077555, 1026118, 1068719, 1106523, 1120443, 895743, 865456, 823565, 1042438, 1110142, 911502, 866227, 886481, 854852, 844441, 841220, 913425, 1013389, 15596515, 902172, 903325, 910439, 845307, 910032, 892048, 12384775, 823356, 1074754, 1126899, 1105301, 13190294, 866211, 1135096, 9365106, 5566809, 1041796, 1008787, 12302069, 1042544, 1051516, 837579, 1081177, 914318, 878285, 1049788, 904360, 830156, 1101010, 856790, 1076306, 9245106, 1115801, 1103741, 1080414, 869024, 1075368, 1011572, 873654, 995965, 933835, 1096036, 850562, 866355, 1046545, 1070782, 1022053, 15926927, 1081582, 913210, 15926885, 847982, 912704, 849018, 1031833, 1037863, 900418, 1036081, 9337581, 837304, 952163, 1077285, 1043590, 858918, 821976, 890610, 5592931, 867648, 837366, 905690, 983584, 1110572, 843656, 1027569, 1074524, 887618, 844165, 893018, 9337369, 909894, 916381, 1007195, 1131438, 12185599, 1080014, 821845, 1024306, 1092026, 1022254, 1076056, 868764, 1006184, 1127831, 9526410, 1105488, 930118, 1023720]"
9,"[995242, 1029743, 1082185, 6534178, 916993, 929433, 982790, 1134522, 5569471, 952317, 948254, 1040346, 13381584, 5591103, 10457112, 960984, 839419, 970119, 899624, 947858, 856772, 883404, 874255, 883616, 950824, 1051323, 9297474, 10150194, 937292, 862799, 926025, 1078763, 961554, 987464, 1007642, 965292, 857503, 981760, 1038217, 943233, 893018, 881708, 1007911, 1056005, 896369, 1039126, 859075, 927400, 923746, 866211, 1067606, 9707240, 1058997, 1027773, 916122, 995785, 860776, 990797, 844179, 962229, 826249, 5569230, 1044078, 840361, 962568, 5978656, 951590, 862349, 1098066, 1084968, 1053690, 878996, 908531, 1068719, 1070820, 1022053, 1004001, 983584, 1004906, 1081177, 854852, 1043301, 5568191, 1126899, 904360, 1106523, 1133018, 1127831]"
10,"[863762, 1082185, 844165, 1029743, 15596488]"
